code,source_authority,geographic_identifier_nom
5305100,IATTC,EPO
5305101,IATTC,EPO
5305102,IATTC,EPO
5305103,IATTC,EPO
5305104,IATTC,EPO
5305105,IATTC,EPO
5305106,IATTC,EPO
5305107,IATTC,EPO
5305108,IATTC,EPO
5305109,IATTC,EPO
5305110,IATTC,EPO
5305111,IATTC,EPO
5305112,IATTC,EPO
5305113,IATTC,EPO
5305114,IATTC,EPO
5305115,IATTC,EPO
5305116,IATTC,EPO
5305117,IATTC,EPO
5305118,IATTC,EPO
5305119,IATTC,EPO
5305120,IATTC,EPO
5305121,IATTC,EPO
5305122,IATTC,EPO
5305123,IATTC,EPO
5305124,IATTC,EPO
5305125,IATTC,EPO
5305126,IATTC,EPO
5305127,IATTC,EPO
5305128,IATTC,EPO
5305129,IATTC,EPO
5305130,IATTC,EPO
5305131,IATTC,EPO
5305132,IATTC,EPO
5305133,IATTC,EPO
5305134,IATTC,EPO
5305135,IATTC,EPO
5305136,IATTC,EPO
5305137,IATTC,EPO
5305138,IATTC,EPO
5305139,IATTC,EPO
5305140,IATTC,EPO
5305141,IATTC,EPO
5305142,IATTC,EPO
5305143,IATTC,EPO
5305144,IATTC,EPO
5305145,IATTC,EPO
5305146,IATTC,EPO
5305147,IATTC,EPO
5305148,IATTC,EPO
5305149,IATTC,EPO
5306000,ICCAT,AT-SE
5306001,ICCAT,AT-SE
5306002,ICCAT,AT-SE
5306003,ICCAT,AT-SE
5306004,ICCAT,AT-SE
5306005,ICCAT,AT-SE
5306006,ICCAT,AT-SE
5306007,ICCAT,AT-SE
5306008,ICCAT,AT-SE
5306009,ICCAT,AT-SE
5306010,ICCAT,AT-SE
5306011,ICCAT,AT-SE
5306012,ICCAT,AT-SE
5306013,ICCAT,AT-SE
5306014,ICCAT,AT-SE
5306015,ICCAT,AT-SE
5306016,ICCAT,AT-SE
5306017,ICCAT,AT-SE
5306018,ICCAT,AT-SE
5306021,ICCAT,AT-SW
5306022,ICCAT,AT-SW
5306023,ICCAT,AT-SW
5306024,ICCAT,AT-SW
5306025,ICCAT,AT-SW
5306026,ICCAT,AT-SW
5306027,ICCAT,AT-SW
5306028,ICCAT,AT-SW
5306029,ICCAT,AT-SW
5306030,ICCAT,AT-SW
5306031,ICCAT,AT-SW
5306032,ICCAT,AT-SW
5306033,ICCAT,AT-SW
5306035,ICCAT,AT-SW
5306079,IATTC,EPO
5306080,IATTC,EPO
5306081,IATTC,EPO
5306082,IATTC,EPO
5306083,IATTC,EPO
5306084,IATTC,EPO
5306085,IATTC,EPO
5306086,IATTC,EPO
5306087,IATTC,EPO
5306088,IATTC,EPO
5306089,IATTC,EPO
5306090,IATTC,EPO
5306091,IATTC,EPO
5306092,IATTC,EPO
5306093,IATTC,EPO
5306094,IATTC,EPO
5306095,IATTC,EPO
5306096,IATTC,EPO
5306097,IATTC,EPO
5306098,IATTC,EPO
5306099,IATTC,EPO
5306100,IATTC,EPO
5306101,IATTC,EPO
5306102,IATTC,EPO
5306103,IATTC,EPO
5306104,IATTC,EPO
5306105,IATTC,EPO
5306106,IATTC,EPO
5306107,IATTC,EPO
5306108,IATTC,EPO
5306109,IATTC,EPO
5306110,IATTC,EPO
5306111,IATTC,EPO
5306112,IATTC,EPO
5306113,IATTC,EPO
5306114,IATTC,EPO
5306115,IATTC,EPO
5306116,IATTC,EPO
5306117,IATTC,EPO
5306118,IATTC,EPO
5306119,IATTC,EPO
5306120,IATTC,EPO
5306121,IATTC,EPO
5306122,IATTC,EPO
5306123,IATTC,EPO
5306124,IATTC,EPO
5306125,IATTC,EPO
5306126,IATTC,EPO
5306127,IATTC,EPO
5306128,IATTC,EPO
5306129,IATTC,EPO
5306130,IATTC,EPO
5306131,IATTC,EPO
5306132,IATTC,EPO
5306133,IATTC,EPO
5306134,IATTC,EPO
5306135,IATTC,EPO
5306136,IATTC,EPO
5306137,IATTC,EPO
5306138,IATTC,EPO
5306139,IATTC,EPO
5306140,IATTC,EPO
5306141,IATTC,EPO
5306142,IATTC,EPO
5306143,IATTC,EPO
5306144,IATTC,EPO
5306145,IATTC,EPO
5306146,IATTC,EPO
5306147,IATTC,EPO
5306148,IATTC,EPO
5306149,IATTC,EPO
5307000,ICCAT,AT-SE
5307001,ICCAT,AT-SE
5307002,ICCAT,AT-SE
5307003,ICCAT,AT-SE
5307004,ICCAT,AT-SE
5307005,ICCAT,AT-SE
5307006,ICCAT,AT-SE
5307007,ICCAT,AT-SE
5307008,ICCAT,AT-SE
5307009,ICCAT,AT-SE
5307010,ICCAT,AT-SE
5307011,ICCAT,AT-SE
5307012,ICCAT,AT-SE
5307013,ICCAT,AT-SE
5307014,ICCAT,AT-SE
5307015,ICCAT,AT-SE
5307016,ICCAT,AT-SE
5307017,ICCAT,AT-SE
5307018,ICCAT,AT-SE
5307021,ICCAT,AT-SW
5307022,ICCAT,AT-SW
5307023,ICCAT,AT-SW
5307024,ICCAT,AT-SW
5307025,ICCAT,AT-SW
5307026,ICCAT,AT-SW
5307027,ICCAT,AT-SW
5307028,ICCAT,AT-SW
5307029,ICCAT,AT-SW
5307030,ICCAT,AT-SW
5307079,IATTC,EPO
5307080,IATTC,EPO
5307081,IATTC,EPO
5307082,IATTC,EPO
5307083,IATTC,EPO
5307084,IATTC,EPO
5307085,IATTC,EPO
5307086,IATTC,EPO
5307087,IATTC,EPO
5307088,IATTC,EPO
5307089,IATTC,EPO
5307090,IATTC,EPO
5307091,IATTC,EPO
5307092,IATTC,EPO
5307093,IATTC,EPO
5307094,IATTC,EPO
5307095,IATTC,EPO
5307096,IATTC,EPO
5307097,IATTC,EPO
5307098,IATTC,EPO
5307099,IATTC,EPO
5307100,IATTC,EPO
5307101,IATTC,EPO
5307102,IATTC,EPO
5307103,IATTC,EPO
5307104,IATTC,EPO
5307105,IATTC,EPO
5307106,IATTC,EPO
5307107,IATTC,EPO
5307108,IATTC,EPO
5307109,IATTC,EPO
5307110,IATTC,EPO
5307111,IATTC,EPO
5307112,IATTC,EPO
5307113,IATTC,EPO
5307114,IATTC,EPO
5307115,IATTC,EPO
5307116,IATTC,EPO
5307117,IATTC,EPO
5307118,IATTC,EPO
